Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,36.544849,37.906979,36.162792,37.225914,37.225914,5635300
2018-02-07,37.159470,38.189369,36.971207,36.971207,36.971207,3642000
2018-02-08,36.965672,37.502769,36.196014,36.334442,36.334442,6213900
2018-02-09,36.849392,37.613510,35.968994,37.264675,37.264675,4668300
2018-02-12,37.419712,38.067554,37.115173,37.668880,37.668880,4135700
2018-02-13,37.375416,38.073090,37.153931,37.818382,37.818382,3234900
2018-02-14,37.602436,38.787376,37.513844,38.687706,38.687706,3162800
2018-02-15,38.981174,39.031006,37.868217,38.222591,38.222591,2280300
2018-02-16,38.205978,39.125137,38.078629,38.643410,38.643410,2287300
2018-02-20,38.338871,38.815060,38.111851,38.660023,38.660023,2686200
2018-02-21,38.759689,39.368771,38.632336,38.715393,38.715393,2342600
2018-02-22,38.936878,39.424141,38.648949,39.069767,39.069767,2852600
2018-02-23,39.385384,39.944630,39.191582,39.745293,39.745293,2375300
2018-02-26,39.939091,40.359913,39.667774,40.083057,40.083057,1492100
2018-02-27,40.227020,40.531563,39.966778,40.276855,40.276855,2019100
2018-02-28,40.902546,41.760796,40.847176,41.135105,41.135105,3525300
2018-03-01,41.018826,42.868217,39.734219,41.733112,41.733112,10307900
2018-03-02,40.332226,41.024364,38.931339,40.786266,40.786266,4363500
2018-03-05,40.564785,41.112957,40.016613,40.974529,40.974529,3404300
2018-03-06,41.151718,41.971207,41.151718,41.860466,41.860466,3129300
2018-03-07,41.605759,42.929127,41.589146,42.801773,42.801773,3936400
2018-03-08,42.923588,44.208195,42.646732,42.868217,42.868217,3589200
2018-03-09,42.929127,43.543743,42.508305,43.455151,43.455151,2311300
2018-03-12,43.576965,43.887043,42.862679,43.067554,43.067554,2433600
2018-03-13,43.139534,43.189369,42.464008,42.823921,42.823921,2565800
2018-03-14,42.912514,43.244740,42.535992,43.089703,43.089703,1662800
2018-03-15,43.189369,43.255814,42.674419,42.978958,42.978958,2078900
2018-03-16,43.133999,43.466225,42.956810,43.167221,43.167221,2218300
2018-03-19,42.945736,43.244740,42.441860,43.172756,43.172756,2080300
2018-03-20,42.918053,43.776302,42.918053,43.322258,43.322258,1563500
2018-03-21,43.294575,43.294575,42.026577,42.081947,42.081947,2113000
2018-03-22,41.771870,41.899223,41.168327,41.229237,41.229237,2652700
2018-03-23,41.207088,42.220375,40.415283,40.498341,40.498341,3585800
2018-03-26,41.173866,41.744186,40.730896,41.600220,41.600220,2014600
2018-03-27,41.871540,42.181618,40.542637,40.797340,40.797340,2164300
2018-03-28,40.786266,40.891472,39.700996,39.922482,39.922482,2750400
2018-03-29,39.961239,40.764118,39.734219,40.537098,40.537098,2602600
2018-04-02,40.586933,40.891472,39.230343,40.177189,40.177189,2077800
2018-04-03,40.282391,40.526024,39.629013,40.321152,40.321152,1587700
2018-04-04,39.700996,40.548172,39.457363,40.404209,40.404209,1231300
2018-04-05,40.714287,40.941307,39.950165,40.315613,40.315613,1387700
2018-04-06,40.077518,40.370987,39.158360,39.473976,39.473976,1466500
2018-04-09,39.590256,40.614616,39.523811,39.811737,39.811737,1303200
2018-04-10,40.448505,40.664452,39.900333,40.304539,40.304539,1318200
2018-04-11,40.177189,40.431892,39.723145,39.828350,39.828350,818800
2018-04-12,39.966778,40.465115,39.867111,40.243633,40.243633,1122200
2018-04-13,40.431892,40.631229,39.883720,40.365448,40.365448,1474100
2018-04-16,41.638981,41.915836,40.121815,41.168327,41.168327,4320100
2018-04-17,41.362125,41.949059,41.068661,41.744186,41.744186,4311500
2018-04-18,42.452934,42.580288,41.722038,41.965672,41.965672,3190800
2018-04-19,41.677742,41.893688,40.714287,40.919159,40.919159,1979600
2018-04-20,40.642303,41.013290,39.800663,40.238094,40.238094,3461600
2018-04-23,40.343300,40.581394,40.049835,40.470654,40.470654,2004700
2018-04-24,40.636765,40.974529,39.889259,40.105206,40.105206,2189200
2018-04-25,39.889259,40.260242,39.263565,39.745293,39.745293,1206400
2018-04-26,39.905869,40.559246,39.772980,40.404209,40.404209,1086700
2018-04-27,40.586933,40.891472,40.171650,40.210411,40.210411,1272700
2018-04-30,40.232559,40.448505,39.318935,39.739758,39.739758,1943600
2018-05-01,39.568108,39.911407,39.130676,39.540421,39.540421,1857100
2018-05-02,39.468437,39.590256,38.970100,39.147285,39.147285,2085000
2018-05-03,39.191582,39.490585,38.277962,39.424141,39.424141,2534700
2018-05-04,39.241417,40.725361,39.080841,40.393135,40.393135,1518700
2018-05-07,40.420818,41.029900,40.038761,40.138428,40.138428,1043000
2018-05-08,40.155037,40.155037,39.335548,39.872646,39.872646,2706700
2018-05-09,40.022148,40.780731,39.905869,40.265781,40.265781,2751300
2018-05-10,40.370987,41.755260,40.343300,41.356590,41.356590,2372900
2018-05-11,41.334442,41.351051,40.891472,41.151718,41.151718,1729200
2018-05-14,41.356590,41.555923,40.426357,40.786266,40.786266,1538200
2018-05-15,40.370987,41.118492,40.160576,40.930233,40.930233,1579700
2018-05-16,40.974529,41.423035,40.470654,41.096344,41.096344,1500600
2018-05-17,40.775192,41.788483,40.775192,41.151718,41.151718,1647300
2018-05-18,42.153931,44.651161,42.037651,43.637875,43.637875,11856900
2018-05-21,43.809525,44.800663,43.466225,44.557034,44.557034,6976600
2018-05-22,44.429680,44.817276,43.565891,44.723145,44.723145,3281100
2018-05-23,44.540421,45.404209,44.191582,45.343300,45.343300,4074300
2018-05-24,45.382061,45.897011,45.005539,45.775192,45.775192,1388900
2018-05-25,45.741970,45.919159,45.348839,45.415283,45.415283,987700
2018-05-29,45.293465,45.293465,44.529346,44.601330,44.601330,1373000
2018-05-30,44.955704,45.182724,44.252491,44.872646,44.872646,1935500
2018-05-31,44.889259,45.011074,44.302326,44.662235,44.662235,3840100
2018-06-01,45.686600,47.552601,45.686600,46.982281,46.982281,3785500
2018-06-04,47.392025,47.884827,45.924694,47.081947,47.081947,2126700
2018-06-05,47.198227,48.045403,46.794022,47.978958,47.978958,2047500
2018-06-06,48.023254,48.438538,47.890366,48.366554,48.366554,2125200
2018-06-07,48.383167,48.770763,48.006645,48.759689,48.759689,1446100
2018-06-08,48.726467,49.102989,48.128460,48.909191,48.909191,1364100
2018-06-11,48.892582,48.892582,48.233665,48.527130,48.527130,728300
2018-06-12,48.527130,48.709858,47.751938,48.012180,48.012180,938600
2018-06-13,48.172756,48.975636,47.751938,48.676632,48.676632,1859400
2018-06-14,48.809525,49.457363,48.255814,48.676632,48.676632,1238900
2018-06-15,48.527130,49.197121,48.255814,48.942413,48.942413,1503100
2018-06-18,48.444077,49.617939,48.172756,49.595791,49.595791,1331400
2018-06-19,48.959026,49.335548,48.383167,49.280178,49.280178,855900
2018-06-20,49.335548,50.310078,49.335548,49.390919,49.390919,1219600
2018-06-21,49.468437,49.640087,48.792912,49.330009,49.330009,1698300
2018-06-22,49.147285,49.900333,48.073090,49.158360,49.158360,3229500
2018-06-25,49.019932,49.152824,47.126247,47.596901,47.596901,881200
2018-06-26,47.691029,48.084164,47.380951,47.873753,47.873753,1061500
2018-06-27,48.050941,48.133999,46.472870,46.511627,46.511627,816700
2018-06-28,46.483944,47.358803,46.240311,47.214840,47.214840,1092000
2018-06-29,47.336655,47.967884,46.832779,46.832779,46.832779,814700
