Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,97.639999,101.080002,97.250000,100.900002,98.560638,16413800
2018-02-07,100.500000,104.589996,100.010002,102.849998,100.465424,11165200
2018-02-08,103.230003,103.480003,100.000000,100.019997,97.701035,13975100
2018-02-09,100.529999,101.099998,96.430000,99.370003,97.066116,14184600
2018-02-12,100.129997,100.449997,98.800003,99.550003,97.241943,9135100
2018-02-13,99.330002,101.220001,99.330002,100.980003,98.638794,6622800
2018-02-14,100.860001,102.250000,100.209999,101.699997,99.342087,7307600
2018-02-15,102.550003,103.639999,101.830002,103.230003,100.836624,7494900
2018-02-16,103.089996,104.940002,101.980003,104.779999,102.350677,16064300
2018-02-20,96.989998,97.940002,94.099998,94.110001,91.928062,52088500
2018-02-21,95.110001,95.339996,91.239998,91.519997,89.398109,49503700
2018-02-22,91.430000,93.389999,91.309998,92.769997,90.619125,20365000
2018-02-23,92.879997,93.489998,91.760002,92.889999,90.736359,12791500
2018-02-26,92.900002,93.800003,92.220001,93.120003,90.961021,14699300
2018-02-27,93.629997,93.720001,91.510002,91.519997,89.398109,13376100
2018-02-28,92.000000,92.099998,90.000000,90.010002,87.923126,14143700
2018-03-01,90.169998,90.180000,87.709999,89.080002,87.014687,18909600
2018-03-02,87.269997,88.900002,87.239998,88.769997,86.711876,19043400
2018-03-05,88.139999,90.500000,88.070000,89.980003,87.893822,13383200
2018-03-06,90.349998,90.500000,88.629997,89.059998,86.995148,11054700
2018-03-07,87.980003,88.529999,87.339996,87.739998,85.705757,11453000
2018-03-08,87.769997,88.129997,87.339996,87.919998,86.393600,9588700
2018-03-09,88.239998,88.720001,87.529999,88.720001,87.179718,9754400
2018-03-12,88.699997,89.440002,87.879997,88.070000,86.541000,8474000
2018-03-13,88.389999,88.900002,87.980003,88.300003,86.767006,7173000
2018-03-14,88.510002,88.989998,87.500000,87.669998,86.147942,11040600
2018-03-15,87.680000,88.790001,85.900002,87.510002,85.990723,16615200
2018-03-16,87.720001,90.089996,87.500000,89.169998,87.621895,28396000
2018-03-19,88.910004,89.080002,87.099998,87.449997,85.931763,12053400
2018-03-20,87.860001,88.150002,87.370003,87.949997,86.423073,8258000
2018-03-21,87.889999,89.680000,87.680000,88.180000,86.649086,11836000
2018-03-22,87.529999,88.269997,86.989998,87.139999,85.627144,12248200
2018-03-23,87.349998,87.690002,85.279999,85.419998,83.937004,10125100
2018-03-26,86.220001,87.690002,86.110001,87.500000,85.980888,9199800
2018-03-27,87.959999,88.040001,85.480003,86.050003,84.556076,6545800
2018-03-28,86.260002,88.239998,86.190002,87.769997,86.246201,11576300
2018-03-29,87.900002,89.339996,87.769997,88.970001,87.425377,9274600
2018-04-02,88.000000,88.239998,84.839996,85.550003,84.064751,19128900
2018-04-03,86.250000,86.949997,85.550003,86.800003,85.293045,9695500
2018-04-04,85.599998,87.500000,85.440002,87.220001,85.705757,6536600
2018-04-05,87.599998,88.349998,87.050003,87.809998,86.285507,6380900
2018-04-06,86.830002,87.900002,86.129997,86.690002,85.184959,6350000
2018-04-09,86.849998,87.449997,86.239998,86.279999,84.782074,8368100
2018-04-10,86.839996,87.099998,85.660004,86.449997,84.949120,9127400
2018-04-11,86.000000,86.860001,85.800003,85.910004,84.418503,6279000
2018-04-12,86.190002,86.830002,85.410004,85.430000,83.946831,6856300
2018-04-13,85.889999,86.269997,85.190002,86.019997,84.526581,7559200
2018-04-16,86.199997,87.650002,86.120003,86.839996,85.332352,7020700
2018-04-17,87.480003,88.169998,87.410004,87.900002,86.373947,6801900
2018-04-18,88.199997,88.559998,87.510002,87.570000,86.049683,5854000
2018-04-19,87.410004,88.040001,86.580002,87.889999,86.364128,6588300
2018-04-20,87.870003,88.379997,86.669998,86.980003,85.469925,8324900
2018-04-23,86.889999,87.080002,86.019997,86.099998,84.605194,7360500
2018-04-24,86.769997,86.910004,85.570000,86.529999,85.027733,8469700
2018-04-25,86.320000,87.699997,85.889999,87.169998,85.656624,6760400
2018-04-26,87.169998,88.320000,86.900002,87.940002,86.413254,5782500
2018-04-27,87.870003,87.900002,87.080002,87.290001,85.774536,5651100
2018-04-30,87.940002,89.660004,87.919998,88.459999,86.924232,8685900
2018-05-01,87.669998,88.010002,86.349998,87.410004,85.892456,6957700
2018-05-02,87.129997,87.250000,86.160004,86.339996,84.841026,6083000
2018-05-03,86.190002,86.290001,85.120003,86.230003,84.732941,6876100
2018-05-04,86.000000,88.099998,85.360001,87.529999,86.010376,6971500
2018-05-07,87.489998,87.500000,85.269997,85.470001,83.986137,10783600
2018-05-08,85.519997,85.849998,84.919998,85.739998,84.251450,6551400
2018-05-09,82.559998,83.680000,82.000000,83.059998,81.617981,32265200
2018-05-10,82.639999,83.769997,82.010002,82.690002,81.766304,15857600
2018-05-11,82.690002,83.519997,81.949997,83.379997,82.448593,9934800
2018-05-14,83.889999,84.790001,83.650002,84.389999,83.447304,9499200
2018-05-15,84.059998,84.879997,83.800003,84.519997,83.575851,9322900
2018-05-16,84.870003,86.129997,84.739998,86.129997,85.167870,13733600
2018-05-17,87.040001,87.589996,83.849998,84.489998,83.546188,29720700
2018-05-18,84.239998,84.440002,83.489998,83.639999,82.705688,12043100
2018-05-21,84.139999,84.540001,83.820000,84.510002,83.565971,10715700
2018-05-22,84.500000,84.809998,83.290001,83.370003,82.438705,8067300
2018-05-23,82.949997,83.019997,82.169998,83.010002,82.082726,9231000
2018-05-24,83.000000,83.000000,81.779999,82.849998,81.924515,8576200
2018-05-25,82.849998,83.339996,82.320000,82.459999,81.538864,5913500
2018-05-29,81.959999,82.519997,81.809998,82.400002,81.479538,8428200
2018-05-30,82.449997,84.230003,82.260002,84.120003,83.180328,9314100
2018-05-31,83.940002,84.309998,82.510002,82.540001,81.617973,11468700
2018-06-01,83.040001,83.419998,82.849998,82.989998,82.062943,5237900
2018-06-04,83.500000,85.519997,83.300003,85.419998,84.465805,10922000
2018-06-05,85.449997,85.470001,84.250000,84.620003,83.674744,8281400
2018-06-06,84.949997,85.150002,84.349998,84.559998,83.615402,7362800
2018-06-07,84.779999,85.760002,84.690002,84.949997,84.001053,7705700
2018-06-08,84.779999,85.190002,84.139999,84.360001,83.417648,7602400
2018-06-11,84.410004,84.540001,83.790001,84.300003,83.358315,6252300
2018-06-12,84.320000,84.589996,83.470001,84.099998,83.160553,8061700
2018-06-13,83.889999,84.370003,83.849998,84.089996,83.150658,6358400
2018-06-14,84.220001,84.809998,83.669998,83.790001,82.854012,7517400
2018-06-15,83.500000,83.989998,83.059998,83.699997,82.765015,12503000
2018-06-18,83.050003,83.570000,82.820000,83.000000,82.072838,8502300
2018-06-19,82.599998,83.620003,82.370003,83.610001,82.676018,9352500
